Wall time,Step,Value
1507653723.2295892,0,8.46176528930664
1507653831.540052,1,16.129318237304688
1507653940.48461,2,20.20667266845703
1507654049.0069525,3,23.652198791503906
1507654157.9012134,4,26.005313873291016
1507654266.406785,5,28.550338745117188
1507654374.852311,6,30.876882553100586
1507654483.1025891,7,32.80484390258789
1507654591.6889067,8,34.54384231567383
1507654700.5228744,9,36.43046951293945
1507654809.1416032,10,37.602596282958984
1507654917.6093526,11,38.91349411010742
1507655026.27903,12,40.002952575683594
1507655134.789841,13,41.56185531616211
1507655243.033692,14,42.060821533203125
1507655351.4509847,15,43.377620697021484
1507655459.764463,16,44.12164306640625
1507655568.4739537,17,45.264244079589844
1507655676.315187,18,45.426631927490234
1507655784.4773245,19,46.516090393066406
1507655892.969193,20,47.53173828125
1507656001.5355105,21,47.756126403808594
1507656111.7504978,22,48.52081298828125
1507656221.062971,23,48.95482635498047
1507656329.6054149,24,49.651607513427734
1507656438.4103427,25,49.63389587402344
1507656546.587768,26,50.70268630981445
1507656654.6444714,27,51.45556640625
1507656763.3545275,28,51.724239349365234
1507656873.6487746,29,52.226158142089844
1507656982.4951975,30,52.75760269165039
1507657091.1029007,31,53.22999572753906
1507657199.5243368,32,53.652198791503906
1507657308.4272711,33,53.82639694213867
1507657416.5921955,34,54.307647705078125
1507657525.6863992,35,55.284912109375
1507657636.5499434,36,54.89518737792969
1507657744.9668074,37,55.91674041748047
1507657853.1995246,38,56.43342208862305
1507657961.292247,39,56.6282844543457
1507658070.941764,40,57.42544937133789
1507658180.5937705,41,57.2010612487793
1507658288.8790467,42,57.528785705566406
1507658397.8245423,43,57.708885192871094
1507658505.9791121,44,58.001182556152344
1507658614.5473971,45,57.995277404785156
1507658726.5488544,46,58.55329132080078
1507658835.3785896,47,59.149688720703125
1507658943.76551,48,59.16740417480469
1507659052.4444034,49,59.24711990356445
1507659160.5316074,50,59.93209457397461
1507659269.4452434,51,60.277530670166016
1507659377.5076473,52,60.18305206298828
1507659485.5289216,53,60.76173782348633
1507659593.5619578,54,60.64954376220703
1507659701.8811147,55,60.74697494506836
1507659811.445048,56,61.04517364501953
1507659920.641047,57,61.50870895385742
1507660028.9155414,58,60.97431182861328
1507660138.0749042,59,61.700618743896484
1507660246.7227566,60,61.780338287353516
1507660356.9875371,61,62.38559341430664
1507660466.3544989,62,62.524356842041016
1507660574.8842084,63,62.62769317626953
1507660682.8665385,64,63.15323257446289
1507660791.2097163,65,63.16209030151367
1507660902.4513798,66,63.10894775390625
1507661011.254118,67,63.920875549316406
1507661120.6620119,68,63.60496139526367
1507661228.8201058,69,63.89430236816406
1507661337.1584446,70,63.66105651855469
1507661447.3350625,71,64.46117401123047
1507661555.7232635,72,64.6648941040039
1507661664.4105976,73,64.72099304199219
1507661772.422667,74,64.72689819335938
1507661881.3517997,75,64.88042449951172
1507661991.3751187,76,65.39710998535156
1507662099.9387765,77,65.19338989257812
1507662208.0886803,78,65.29376983642578
1507662316.2568688,79,65.64806365966797
1507662425.775985,80,65.71006774902344
1507662535.326568,81,65.30853271484375
1507662643.864476,82,66.04664611816406
1507662752.4533122,83,66.15293884277344
1507662860.4890964,84,66.26512908935547
1507662969.1789267,85,66.8703842163086
1507663079.2457488,86,66.64599609375
1507663187.6954741,87,66.88219451904297
1507663296.1095605,88,66.63713836669922
1507663404.5557191,89,67.16858673095703
