Wall time,Step,Value
1507655335.5061808,13,0.014801939018070698
1507655445.487166,14,0.014379531145095825
1507655555.329162,15,0.014046390540897846
1507655665.641551,16,0.013662789016962051
1507655775.8106713,17,0.01340250764042139
1507655886.0834103,18,0.013104209676384926
1507655995.1446424,19,0.012752511538565159
1507656105.5117815,20,0.012596066109836102
1507656215.121858,21,0.012371379882097244
1507656324.181643,22,0.012161447666585445
1507656432.8817964,23,0.011951261200010777
1507656543.1273878,24,0.011741806752979755
1507656652.835886,25,0.011641599237918854
1507656761.673422,26,0.011372983455657959
1507656871.5113833,27,0.011246336624026299
1507656980.351866,28,0.010983649641275406
1507657089.0746818,29,0.01075820717960596
1507657197.892202,30,0.010675882920622826
1507657306.556187,31,0.010698146186769009
1507657417.0266776,32,0.010407602414488792
1507657526.0595841,33,0.010334097780287266
1507657635.725263,34,0.010133957490324974
1507657744.5516891,35,0.010080096311867237
1507657854.2193446,36,0.00987515039741993
1507657963.7662244,37,0.00979897752404213
1507658073.4106536,38,0.009721584618091583
1507658182.3589394,39,0.009591534733772278
1507658290.7923079,40,0.009475170634686947
1507658399.5103278,41,0.009432036429643631
1507658509.753578,42,0.009335750713944435
1507658619.4830022,43,0.009222363121807575
1507658728.3961723,44,0.009279999881982803
1507658837.933218,45,0.009064413607120514
1507658946.705617,46,0.00901462510228157
1507659056.1578934,47,0.008822434581816196
1507659165.6433427,48,0.008814153261482716
1507659274.8702724,49,0.008719515055418015
1507659383.7026534,50,0.008699585683643818
1507659492.6081455,51,0.008654956705868244
1507659603.3900244,52,0.008537429384887218
1507659713.9459093,53,0.008556211367249489
1507659822.991317,54,0.008432524278759956
1507659933.4404862,55,0.008469952270388603
1507660043.0052075,56,0.00833697896450758
1507660152.3037424,57,0.00834884773939848
1507660261.1935217,58,0.008269195444881916
1507660376.7896326,59,0.008168180473148823
1507660486.724821,60,0.008144908584654331
1507660611.820537,61,0.007991554215550423
1507660724.5079,62,0.008016478270292282
1507660833.9799318,63,0.00789229292422533
1507660942.8406086,64,0.007942136377096176
1507661051.9129832,65,0.007930617779493332
1507661161.427174,66,0.007860803045332432
1507661270.6147342,67,0.007758377119898796
1507661379.2557101,68,0.007788977585732937
1507661489.441141,69,0.007714474108070135
1507661598.956184,70,0.007592165842652321
1507661708.500006,71,0.0075965141877532005
1507661817.0005481,72,0.007556112017482519
1507661926.6346042,73,0.007631323765963316
1507662035.4191585,74,0.007454538252204657
1507662144.4798608,75,0.007363640703260899
1507662253.02519,76,0.007416643667966127
1507662361.5626035,77,0.007423594128340483
1507662470.484105,78,0.007366085425019264
1507662580.882766,79,0.0072907996363937855
1507662690.2958424,80,0.0072812181897461414
1507662799.0186987,81,0.007210117299109697
1507662908.1262813,82,0.007294424809515476
1507663016.9482908,83,0.0072374725714325905
1507663125.7368178,84,0.007079141214489937
1507663234.536618,85,0.007105759344995022
1507663344.4897928,86,0.007131186779588461
1507663454.2257054,87,0.007007393054664135
1507663562.9190955,88,0.007047769147902727
1507663672.1677392,89,0.006917889229953289
Wall time,Step,Value
1507653920.9476638,0,7.682851791381836
1507654030.090645,1,12.968653678894043
1507654140.1061013,2,23.45830726623535
1507654250.2755477,3,24.15488624572754
1507654360.4267912,4,27.617292404174805
1507654470.0167747,5,35.27965545654297
1507654580.0069015,6,40.36058044433594
1507654689.3726275,7,42.798606872558594
1507654799.1899538,8,45.21614456176758
1507654909.38713,9,46.58881378173828
1507655019.887649,10,49.82585525512695
1507655129.9392452,11,51.178035736083984
1507655239.294556,12,52.26388168334961
1507655349.2020698,13,53.22679901123047
1507655459.295718,14,54.84531784057617
1507655568.925336,15,55.787750244140625
1507655679.4581094,16,57.4267578125
1507655789.428668,17,59.49600601196289
1507655899.8947217,18,58.410160064697266
1507656008.6629558,19,60.643310546875
1507656119.754134,20,59.844295501708984
1507656228.7028012,21,60.643310546875
1507656337.8266044,22,60.58184814453125
1507656446.465007,23,62.20036697387695
1507656556.9204035,24,64.3310775756836
1507656666.4546921,25,62.85597229003906
1507656775.3269355,26,66.66666412353516
1507656884.9254282,27,65.23253631591797
1507656993.8809547,28,65.41692352294922
1507657102.530979,29,65.92911529541016
1507657211.251992,30,66.64617919921875
1507657320.1677217,31,66.9330062866211
1507657431.1056654,32,64.55644226074219
1507657539.5608454,33,67.15837097167969
1507657649.290882,34,66.74861907958984
1507657758.120121,35,67.77299499511719
1507657867.81359,36,68.14177703857422
1507657977.3407266,37,68.9612808227539
1507658086.9923735,38,67.91641235351562
1507658195.8072653,39,68.42860412597656
1507658304.3598094,40,67.75251007080078
1507658413.105308,41,69.5759048461914
1507658523.5955975,42,69.9241943359375
1507658633.1717436,43,68.61299133300781
1507658742.0184467,44,70.55931091308594
1507658851.4960492,45,69.76029205322266
1507658960.186308,46,70.62077331542969
1507659069.539992,47,70.70272827148438
1507659179.3248036,48,70.047119140625
1507659288.5628574,49,70.2724838256836
1507659397.3374765,50,69.88321685791016
1507659506.372266,51,71.05101776123047
1507659617.4179463,52,71.72710418701172
1507659727.446318,53,70.41590118408203
