Wall time,Step,Value
1507709638.601018,0,4.785946369171143
1507709763.107478,1,11.257750511169434
1507709885.9624166,2,16.27103614807129
1507709998.2731023,3,20.40448760986328
1507710118.902059,4,24.564512252807617
1507710231.9556098,5,27.989370346069336
1507710351.2702746,6,31.8511962890625
1507710470.3685372,7,34.664894104003906
1507710596.3824937,8,36.63418960571289
1507710708.5483646,9,38.792442321777344
1507710822.1021225,10,41.22822570800781
1507710939.3297486,11,43.841156005859375
1507711051.3341384,12,44.49365234375
1507711164.6285608,13,45.81930923461914
1507711285.7526984,14,47.84469985961914
1507711420.0758321,15,49.034542083740234
1507711536.820621,16,49.91437911987305
1507711652.2021823,17,51.10422134399414
1507711765.1550238,18,52.59817123413086
1507711885.8565152,19,53.04694366455078
1507712010.4295788,20,53.77915573120117
1507712140.1934206,21,55.23472213745117
1507712264.060211,22,56.20017623901367
1507712381.383157,23,56.6312370300293
1507712507.1764257,24,57.4667854309082
1507712625.3429198,25,57.534690856933594
1507712748.4881058,26,58.36433410644531
1507712866.0628219,27,59.19988250732422
1507712996.411235,28,59.675228118896484
1507713142.221624,29,60.209625244140625
1507713286.7914102,30,60.67611312866211
1507713397.1861296,31,61.535282135009766
1507713507.4452915,32,62.00767517089844
1507713618.1506517,33,61.66814422607422
1507713728.4547973,34,62.89341735839844
1507713839.9140227,35,63.05580139160156
1507713950.1665268,36,63.303810119628906
1507714060.5763297,37,63.8145866394043
1507714171.4239476,38,63.73191452026367
1507714282.1780293,39,64.77413940429688
1507714392.5838797,40,64.75347137451172
1507714506.9775817,41,65.12252807617188
1507714618.537214,42,65.64215850830078
1507714730.468604,43,66.08502960205078
1507714843.2333267,44,66.2533187866211
1507714961.7922091,45,66.75819396972656
1507715075.0511298,46,66.92057800292969
1507715195.3318768,47,67.20992279052734
1507715315.9534292,48,67.45792388916016
1507715428.9450185,49,67.72364807128906
1507715542.3340068,50,68.08089447021484
1507715655.7963185,51,68.1517562866211
1507715769.9700851,52,68.322998046875
1507715886.1116521,53,68.78358459472656
1507716024.3662412,54,68.99320983886719
1507716138.3571916,55,69.01683044433594
1507716254.4101968,56,69.40655517578125
1507716377.7160335,57,69.89666748046875
1507716489.4994543,58,69.83466339111328
1507716604.0501976,59,69.86123657226562
1507716715.7479727,60,70.3956298828125
1507716836.5927594,61,70.58458709716797
1507716947.9391596,62,70.41925048828125
1507717069.1118767,63,70.64068603515625
1507717181.4247444,64,71.17507934570312
1507717293.3911686,65,71.26660919189453
1507717405.8701773,66,71.73604583740234
1507717519.7757127,67,72.31473541259766
1507717638.7621531,68,72.1169204711914
1507717750.097586,69,71.68585968017578
1507717869.4074745,70,72.41216278076172
1507717981.0221467,71,72.40035247802734
1507718093.0833251,72,72.63359832763672
1507718211.198282,73,72.66017150878906
1507718323.5032957,74,72.56568908691406
1507718439.046637,75,73.05284881591797
1507718551.9283533,76,73.2624740600586
1507718662.4957578,77,73.259521484375
1507718773.7596529,78,73.15914154052734
1507718892.2873585,79,72.97903442382812
1507719006.053737,80,73.95630645751953
1507719128.094402,81,73.51638793945312
1507719239.3792114,82,74.00944519042969
1507719351.3993137,83,74.12459564208984
1507719464.5704665,84,73.76439666748047
1507719576.1404188,85,74.21021270751953
1507719687.3491309,86,74.24269104003906
1507719802.7298338,87,74.44050598144531
1507719914.1065772,88,74.80070495605469
1507720025.0988178,89,74.57632446289062
Wall time,Step,Value
1507709655.0392947,0,9.09649658203125
1507709779.290134,1,16.02130699157715
1507709900.0434647,2,23.478796005249023
1507710014.3930156,3,25.19975471496582
1507710132.87692,4,30.34214210510254
1507710245.7772298,5,38.147918701171875
1507710367.2204268,6,39.68449020385742
1507710484.2150295,7,44.54005432128906
1507710610.669394,8,46.77320098876953
1507710722.3208418,9,47.75660705566406
1507710836.4605293,10,50.39950942993164
1507710953.1935449,11,51.52632522583008
1507711065.2286313,12,53.14484786987305
1507711181.71301,13,53.47264862060547
1507711302.0705402,14,55.050193786621094
1507711437.76093,15,58.041385650634766
1507711550.8958898,16,57.57017135620117
1507711666.1011753,17,59.65990447998047
1507711779.2742972,18,60.06965637207031
1507711901.3471258,19,59.08625411987305
1507712027.5905998,20,62.159393310546875
1507712156.6170335,21,61.237449645996094
1507712278.077893,22,61.40135192871094
1507712400.0667887,23,63.85986328125
1507712522.9191566,24,61.56525421142578
1507712639.2307782,25,62.71255874633789
1507712766.95068,26,64.61790466308594
1507712880.0628042,27,65.06863403320312
1507713014.8069956,28,63.47060012817383
1507713160.0976253,29,65.19155883789062
1507713300.5684443,30,64.35157012939453
1507713411.1102557,31,67.0559310913086
1507713521.0224752,32,67.32227325439453
1507713631.94372,33,66.8100814819336
1507713742.2273204,34,68.75640106201172
1507713853.6810086,35,67.34275817871094
1507713963.928076,36,67.89591979980469
1507714074.3687966,37,69.02274322509766
1507714185.6080446,38,67.85494995117188
1507714295.9979117,39,68.46957397460938
1507714406.288574,40,68.65396118164062
1507714520.9581773,41,69.04322814941406
1507714632.5424197,42,69.8217544555664
1507714744.5102882,43,70.3954086303711
1507714857.368003,44,70.5183334350586
1507714975.771473,45,68.85884094238281
1507715089.1136358,46,69.76029205322266
1507715209.8242948,47,69.8217544555664
1507715329.995806,48,70.60028839111328
1507715443.4957383,49,70.06761169433594
1507715556.4612036,50,68.65396118164062
1507715670.1686454,51,71.03052520751953
1507715784.1176307,52,70.35443878173828
1507715901.940105,53,70.6412582397461
1507716038.754423,54,71.25588989257812
1507716152.3683352,55,71.13296508789062
1507716272.8655314,56,71.99344635009766
1507716391.6078057,57,71.17394256591797
