Wall time,Step,Value
1507709638.601018,0,4.785946369171143
1507709763.107478,1,11.257750511169434
1507709885.9624166,2,16.27103614807129
1507709998.2731023,3,20.40448760986328
1507710118.902059,4,24.564512252807617
1507710231.9556098,5,27.989370346069336
1507710351.2702746,6,31.8511962890625
1507710470.3685372,7,34.664894104003906
1507710596.3824937,8,36.63418960571289
1507710708.5483646,9,38.792442321777344
1507710822.1021225,10,41.22822570800781
1507710939.3297486,11,43.841156005859375
1507711051.3341384,12,44.49365234375
1507711164.6285608,13,45.81930923461914
1507711285.7526984,14,47.84469985961914
1507711420.0758321,15,49.034542083740234
1507711536.820621,16,49.91437911987305
1507711652.2021823,17,51.10422134399414
1507711765.1550238,18,52.59817123413086
1507711885.8565152,19,53.04694366455078
1507712010.4295788,20,53.77915573120117
1507712140.1934206,21,55.23472213745117
1507712264.060211,22,56.20017623901367
1507712381.383157,23,56.6312370300293
1507712507.1764257,24,57.4667854309082
1507712625.3429198,25,57.534690856933594
1507712748.4881058,26,58.36433410644531
1507712866.0628219,27,59.19988250732422
1507712996.411235,28,59.675228118896484
1507713142.221624,29,60.209625244140625
1507713286.7914102,30,60.67611312866211
1507713397.1861296,31,61.535282135009766
1507713507.4452915,32,62.00767517089844
1507713618.1506517,33,61.66814422607422
1507713728.4547973,34,62.89341735839844
1507713839.9140227,35,63.05580139160156
1507713950.1665268,36,63.303810119628906
1507714060.5763297,37,63.8145866394043
1507714171.4239476,38,63.73191452026367
1507714282.1780293,39,64.77413940429688
1507714392.5838797,40,64.75347137451172
1507714506.9775817,41,65.12252807617188
1507714618.537214,42,65.64215850830078
1507714730.468604,43,66.08502960205078
1507714843.2333267,44,66.2533187866211
1507714961.7922091,45,66.75819396972656
1507715075.0511298,46,66.92057800292969
1507715195.3318768,47,67.20992279052734
1507715315.9534292,48,67.45792388916016
1507715428.9450185,49,67.72364807128906
1507715542.3340068,50,68.08089447021484
1507715655.7963185,51,68.1517562866211
1507715769.9700851,52,68.322998046875
1507715886.1116521,53,68.78358459472656
1507716024.3662412,54,68.99320983886719
1507716138.3571916,55,69.01683044433594
1507716254.4101968,56,69.40655517578125
1507716377.7160335,57,69.89666748046875
1507716489.4994543,58,69.83466339111328
1507716604.0501976,59,69.86123657226562
1507716715.7479727,60,70.3956298828125
1507716836.5927594,61,70.58458709716797
1507716947.9391596,62,70.41925048828125
1507717069.1118767,63,70.64068603515625
1507717181.4247444,64,71.17507934570312
1507717293.3911686,65,71.26660919189453
1507717405.8701773,66,71.73604583740234
1507717519.7757127,67,72.31473541259766
1507717638.7621531,68,72.1169204711914
1507717750.097586,69,71.68585968017578
1507717869.4074745,70,72.41216278076172
1507717981.0221467,71,72.40035247802734
1507718093.0833251,72,72.63359832763672
1507718211.198282,73,72.66017150878906
1507718323.5032957,74,72.56568908691406
1507718439.046637,75,73.05284881591797
1507718551.9283533,76,73.2624740600586
1507718662.4957578,77,73.259521484375
1507718773.7596529,78,73.15914154052734
1507718892.2873585,79,72.97903442382812
1507719006.053737,80,73.95630645751953
1507719128.094402,81,73.51638793945312
1507719239.3792114,82,74.00944519042969
1507719351.3993137,83,74.12459564208984
1507719464.5704665,84,73.76439666748047
1507719576.1404188,85,74.21021270751953
1507719687.3491309,86,74.24269104003906
1507719802.7298338,87,74.44050598144531
1507719914.1065772,88,74.80070495605469
1507720025.0988178,89,74.57632446289062
